Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Dual,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Colors,Price,Build,Dual_1,Features_1,Charging,GPRS,EDGE,Phonebook,Call records,_1,Alert types,Messaging,Browser,Clock,Alarm,Games,Java,_1_1,Stand-by,Talk time,Protection,NFC,Single_1,Models,SAR EU,Music play,Infrared port,Languages
ericsson,Ericsson T20s,https://fdn2.gsmarena.com/vv/bigpic/ert20s.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),128 g (4.52 oz),Mini-SIM,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,,No,,SMS Templates,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,"4 - Blue Whirl, Lime Twist, Silver Weave, Beige Harmony",,,,,,No,No,99,"10 received, dialed and missed calls",No,"Vibration; Monophonic ringtones, composer",SMS,WAP,Yes,Yes,"4 - Tetris, Erix, E-maze, Ballpop",No,Swatch Internet Time Voice dial Voice answer Calculator Stopwatch Start-up shut-down shows Profiles Active flip,200 h,10 h,,,,,,,,24
ericsson,Ericsson T36,https://fdn2.gsmarena.com/vv/bigpic/ert36b.gif,GSM,GSM 900 / 1800 / 1900,,,,2000,Cancelled,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),88 g (3.10 oz),Mini-SIM,Grayscale graphic,,4 lines,,,,,No,,No,,,,,,No,No,No,Yes,No,No,,,Removable Li-Po battery,,,,,,,No,No,1000,,Predictive text input High speed data transfers Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip,"Vibration; Monophonic ringtones, composer",SMS,WAP 1.2,Yes,Yes,Yes,No,,200 h,7 h,,,,,,,Yes,37
ericsson,Ericsson R380,https://fdn2.gsmarena.com/vv/bigpic/err380b.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,130 x 50 x 26 mm (5.12 x 1.97 x 1.02 in),164 g (5.78 oz),Mini-SIM,Monochrome resistive touchscreen,,Big,,,,,No,,Partly covered by the flip,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,,,,,,,No,No,99,Advanced,No,Vibration; Monophonic ringtones,"SMS, Email",WAP,Yes,Yes,Yes,No,EPOC operating system Organizer Voice dial Voice answer Voice memo Calculator,150 h,4 h,,,,,,,Yes,
ericsson,Ericsson R320,https://fdn2.gsmarena.com/vv/bigpic/err320b.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,130 x 51 x 15 mm (5.12 x 2.01 x 0.59 in),99 g (3.49 oz),Mini-SIM,Monochrome graphic,,5 lines,,,,,No,,No,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,"Atlantic Blue, Rock Red and Stone Purple",,,,,,No,No,99,"30 received, dialed and missed calls",Voice dial Voice answer Voice memo Calculator,Vibration; Monophonic ringtones,SMS,WAP,Yes,Yes,Yes,No,,104 h,4 h 30 min,,,,,,,Yes,
ericsson,Ericsson R310s,https://fdn2.gsmarena.com/vv/bigpic/err310s.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,131 x 53 x 25 mm (5.16 x 2.09 x 0.98 in),173 g (6.10 oz),Mini-SIM,Monochrome graphic,,5 lines,,,,,No,,"Dust, shock and splash resistant",,,,,,No,No,No,No,No,No,,,Removable NiMH battery,"Bright Orange, Nautic Blue, Aquatic Green and Peak Yellow",,,,,,No,No,99,,No,Vibration; Monophonic ringtones,SMS,,Yes,Yes,,No,Calculator Voice memo/dial,160 h,6 h 48 min,,,,,,,,
ericsson,Ericsson A2618,https://fdn2.gsmarena.com/vv/bigpic/era2618b.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in),140 g (4.94 oz),Mini-SIM,Monochrome graphic,,4 lines,,,,,No,,No,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,Exchangeable covers,,,,,,No,No,99,"30 received, dialed and missed calls",Voice dial - Voice answer - Custom pictures,Monophonic ringtones,SMS,WAP,Yes,Yes,"3 - Tetris, Erix, Labirinth",No,,195 h,7 h,,,,,,,,
ericsson,Ericsson R250s PRO,https://fdn2.gsmarena.com/vv/bigpic/err250sb.gif,GSM,GSM 900 / 1800,,,,2000,Discontinued,148 x 59 x 32 mm (5.83 x 2.32 x 1.26 in),330 g (11.64 oz),Mini-SIM,Monochrome graphic,,4 lines,,,,,No,,Fixed icons,,,,,,Yes,No,No,No,No,No,,,Removable battery,"2 - Bright Orange, Iron Green",,,,,,No,No,250,,No,Vibration; Monophonic ringtones,SMS,,Yes,Yes,No,No,Private Mobile Radio (PMR),100 h,5 h,,,,,,,,24
ericsson,Ericsson T28 World,https://fdn2.gsmarena.com/vv/bigpic/ert28wb.gif,GSM,GSM 900 / 1900,,,,1999,Discontinued,97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in),83 g (2.93 oz),Mini-SIM,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable Li-Po 500 mAh battery,,,,,,,No,No,250,,No,"Vibration; Monophonic ringtones, composer",SMS,,Yes,Yes,"2 - Tetris, Solitarie",No,Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip,50 h,3 h 30 min,,,,,,,,37
ericsson,Ericsson T28s,https://fdn2.gsmarena.com/vv/bigpic/ert28sb.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in),83 g (2.93 oz),Mini-SIM,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable Li-Po 500 mAh battery,,,,,,,No,No,250,,No,"Vibration; Monophonic ringtones, composer",SMS,,Yes,Yes,"2 - Tetris, Solitarie",No,Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip,50 h,3 h 30 min,,,,,,,,37
ericsson,Ericsson T18s,https://fdn2.gsmarena.com/vv/bigpic/ert18sb.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),146 g (5.15 oz),Mini-SIM,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 750 mAh battery,3,,,,,,No,No,99,,No,"Vibration; Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,Voice dialing Voice answering,100 h,4 h,,,,,,,,24
ericsson,Ericsson T10s,https://fdn2.gsmarena.com/vv/bigpic/ert10sb.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),135 g (4.76 oz),Mini-SIM,Monochrome graphic,,"101 x 33 pixels, 3 x 12 chars",,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 750 mAh battery,5,,,,,,No,No,99,,No,"Vibration; Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,,100 h,4 h,,,,,,,,24
ericsson,Ericsson A1018s,https://fdn2.gsmarena.com/vv/bigpic/er1018sb.gif,GSM,GSM 900 / 1800,,,,1999,Discontinued,130 x 49 x 27 mm (5.12 x 1.93 x 1.06 in),163 g (5.75 oz),Mini-SIM,Monochrome graphic,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 800 mAh battery,,,,,,,No,No,No,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,,80 h,265 min,,,,,,,,24
ericsson,Ericsson I 888,https://fdn2.gsmarena.com/vv/bigpic/eri888b.gif,GSM,GSM 900 / 1900,,,,1999,Discontinued,130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in),195 g (6.88 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 800 mAh battery,,,,,,,No,No,100,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,Serial port,80 h,265 min,,,,,,,Yes,24
ericsson,Ericsson SH 888,https://fdn2.gsmarena.com/vv/bigpic/ersh888b.gif,GSM,GSM 900 / 1800,,,,1998,Discontinued,130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in),195 g (6.88 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 800 mAh battery,,,,,,,No,No,100,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,Serial port,80 h,265 min,,,,,,,Yes,24
ericsson,Ericsson S 868,https://fdn2.gsmarena.com/vv/bigpic/ers868b.gif,GSM,GSM 900 / 1800,,,,1998,Discontinued,130 x 49 x 21 mm (5.12 x 1.93 x 0.83 in),172 g (6.07 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 800 mAh battery,,,,,,,No,No,100,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,,80 h,265 min,,,,,,,Yes,24
ericsson,Ericsson GF 788e,https://fdn2.gsmarena.com/vv/bigpic/erg788eb.gif,GSM,GSM 900,,,,1997,Discontinued,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),135 g (4.76 oz),Mini-SIM,Alphanumeric,,1 x 10 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 550 mAh battery,4,,,,,,No,No,99,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,Customizable menu,60 h,180 min,,,,,,,,19
ericsson,Ericsson GF 788,https://fdn2.gsmarena.com/vv/bigpic/ergf788b.gif,GSM,GSM 900,,,,1997,Discontinued,105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in),135 g (4.76 oz),Mini-SIM,Alphanumeric,,1 x 10 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 550 mAh battery,4,,,,,,No,No,99,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,Customizable menu,60 h,180 min,,,,,,,,19
ericsson,Ericsson PF 768,https://fdn2.gsmarena.com/vv/bigpic/erpf768b.gif,GSM,GSM 1800,,,,1997,Discontinued,105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in),135 g (4.76 oz),Mini-SIM,Alphanumeric,,1 x 10 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 550 mAh battery,4,,,,,,No,No,99,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,Volume keys,60 h,180 min,,,,,,,,19
ericsson,Ericsson GF 768,https://fdn2.gsmarena.com/vv/bigpic/ergf768b.gif,GSM,GSM 900,,,,1997,Discontinued,105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in),135 g (4.76 oz),Mini-SIM,Alphanumeric,,1 x 10 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 550 mAh battery,4,,,,,,No,No,99,,No,"Monophonic ringtones, composer",SMS,,Yes,Yes,No,No,Volume keys,60 h,180 min,,,,,,,,19
ericsson,Ericsson GH 688,https://fdn2.gsmarena.com/vv/bigpic/ergh688b.gif,GSM,GSM 900,,,,1996,Discontinued,130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in),160 g (5.64 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 1200 mAh battery,,,,,,,No,No,99,,No,Monophonic ringtones,SMS,,Yes,Yes,No,No,Scratchpad Calculator,96 h,240 min,,,,,,,,19
ericsson,Ericsson GA 628,https://fdn2.gsmarena.com/vv/bigpic/erga628b.gif,GSM,GSM 900,,,,1996,Discontinued,130 x 49 x 28 mm (5.12 x 1.93 x 1.10 in),160 g (5.64 oz),Mini-SIM,Alphanumeric,,1 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 1000 mAh battery,,,,,,,No,No,No,,No,Monophonic ringtones,SMS,,No,No,No,No,Scratchpad Replaceable front panel,83 h,125 min,,,,,,,,
ericsson,Ericsson GF 388,https://fdn2.gsmarena.com/vv/bigpic/ergf388b.gif,GSM,GSM 900,,,,1995,Discontinued,130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in),170 g (6.00 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 915 mAh battery,,,,,,,No,No,100,,No,Monophonic ringtones,SMS,,Yes,Yes,No,No,Calculator,37 h,125 min,,,,,,,,
ericsson,Ericsson GH 388,https://fdn2.gsmarena.com/vv/bigpic/ergh388b.gif,GSM,GSM 900,,,,1995,Discontinued,130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in),170 g (6.00 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 915 mAh battery,,,,,,,No,No,100,,No,Monophonic ringtones,SMS,,Yes,Yes,No,No,Calculator,37 h,125 min,,,,,,,,
ericsson,Ericsson GS 337,https://fdn2.gsmarena.com/vv/bigpic/ergs337b.gif,GSM,GSM 900,,,,1995,Discontinued,130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in),193 g (6.81 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 915 mAh battery,,,,,,,No,No,No,,No,Monophonic ringtones,SMS(Receive only),,Yes,Yes,No,No,,25 h,110 min,,,,,,,,
ericsson,Ericsson GF 337,https://fdn2.gsmarena.com/vv/bigpic/ergf337b.gif,GSM,GSM 900,,,,1995,Discontinued,130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in),193 g (6.81 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 915 mAh battery,,,,,,,No,No,No,,No,Monophonic ringtones,SMS(Receive only),,Yes,Yes,No,No,,25 h,110 min,,,,,,,,
ericsson,Ericsson GH 337,https://fdn2.gsmarena.com/vv/bigpic/ergh337b.gif,GSM,GSM 900,,,,1995,Discontinued,130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in),193 g (6.81 oz),Mini-SIM,Alphanumeric,,3 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 915 mAh battery,,,,,,,No,No,No,,No,Monophonic ringtones,SMS(Receive only),,Yes,Yes,No,No,,25 h,110 min,,,,,,,,
ericsson,Ericsson GA 318,https://fdn2.gsmarena.com/vv/bigpic/erga318b.gif,GSM,GSM 900,,,,1995,Discontinued,130 x 49 x 32 mm (5.12 x 1.93 x 1.26 in),248 g (8.75 oz),Mini-SIM,Alphanumeric,,1 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 1200 mAh battery,3,,,,,,No,No,No,,No,Monophonic ringtones,SMS(Receive only),,No,No,No,No,Scratchpad,67 h,200 min,,,,,,,,12
ericsson,Ericsson GS 18,https://fdn2.gsmarena.com/vv/bigpic/ergs18b.gif,GSM,GSM 900,,,,1996,Discontinued,147 x 60 x 24 mm (5.79 x 2.36 x 0.94 in),215 g (7.58 oz),Mini-SIM,Alphanumeric,,4 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 1200 mAh battery,,,,,,,No,No,100,,No,Monophonic ringtones,SMS,,No,No,No,No,Radio link protocol Serial port,36 h,180 min,,,,,,,,12
ericsson,Ericsson GO 118,https://fdn2.gsmarena.com/vv/bigpic/ergo118b.gif,GSM,GSM 900,,,,1995,Discontinued,145 x 59 x 18 mm (5.71 x 2.32 x 0.71 in),215 g (7.58 oz),Mini-SIM,Alphanumeric,,4 x 12 chars,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH 1200 mAh battery,,,,,,,No,No,100,,No,Monophonic ringtones,SMS,,No,No,No,No,,36 h,180 min,,,,,,,,12
ericsson,Ericsson GH 218,https://fdn2.gsmarena.com/vv/bigpic/ergh218b.gif,GSM,GSM 900,,,,1994,Discontinued,130 x 49 x 36 mm (5.12 x 1.93 x 1.42 in),,Mini-SIM,Alphanumeric,,1 line,,,,,No,,Fixed icons,,,,,,No,No,No,No,No,No,,,Removable NiMH battery,,,,,,,No,No,,,No,Monophonic ringtones,SMS,,No,No,No,No,,47 h,2 h 40 min,,,,,,,,
